name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
线性时流,Meng_God_Time,,,神的遗留,"defensive,no_drop,no_sell,no_drop_salvage,no_build_in",特殊,,TRUE,,,8,15,25,35,data.hullmods.Meng_timecontrol,掌握的知识让我们可以运用另一种方式巧妙且稳定的增加时间流速，不过这往往被认为是不理性的、充满风险的改造。,增幅时间,,graphics/Meng/hullmods/meng_timecontrol.png
赐死神罚,Meng_Killer,,,神的遗留,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,TRUE,,,10,20,30,40,data.hullmods.MengKiller,将时间的规律应用于我们的技术，从而锁死敌方舰船对于结构的回复效果。,限制恢复,,graphics/Meng/hullmods/meng_killer.png
时流之河,Meng_river,,,神的遗留,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,TRUE,,,15,25,35,50,data.hullmods.Meng_river,对舰船集成时间方面的技术，在前方范围内创建时流潮汐，大幅度限制指定范围内的某艘舰船移速。,范围减速,,graphics/Meng/hullmods/meng_river.png
虚想树龙骨框架,Meng_emp,,,虚想树,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,FALSE,TRUE,,10,20,30,40,data.hullmods.Meng_Karbala,神所垂青之物，也将被赐予神的威能，拥有凡世间远远不可想像的极端加成。,终极力量,,graphics/Meng/hullmods/meng_EMP.png
面子工程,Meng_clear,,,神的遗留,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,TRUE,,,0,0,0,0,data.hullmods.Meng_clear,什么？想要你的战舰好看点？装上这个船插，消除一切因为D插和装甲破损而带来的对外观的影响！,面子工程,,graphics/Meng/hullmods/meng_clear.png
恒域凝视,Meng_MingGodCenter,,,Embers-阶梯计划,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,FALSE,TRUE,,0,0,0,0,data.hullmods.Meng_MingGodCenter,我站在舰桥上远眺，它的目光正注视着无垠的寰宇，或许对于它来说，这些都只是咫尺的一瞥。,空间控制,,graphics/Meng/hullmods/meng_river.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
虚子炉幅散系统,Meng_fire_core,,,火羽计划,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,TRUE,TRUE,,0,0,0,0,data.hullmods.Meng_fire_core,内置于舰体内的虚子炉改写了舰船的幅能系统，虚子炉在运作时将会高效排散填塞其中的幅能，从而衍生出截然不同于常规舰船理论的战斗学说。,辐能调整,,graphics/Meng/hullmods/Meng_fire_core.png
虚子炉-璃,Meng_fire_core_li,,,火羽计划,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,TRUE,TRUE,,0,0,0,0,data.hullmods.Meng_fire_core_li,内置于舰体内的虚子炉改写了舰船的幅能系统，虚子炉在运作时将会高效排散填塞其中的幅能，从而衍生出截然不同于常规舰船理论的战斗学说。,辐能调整,,graphics/Meng/hullmods/Meng_fire_core.png
火羽目标定位系统,Meng_fire_TargetingCore,,,火羽计划,"offensive,Meng_fire_hullmod",武器,20000,,,,5,10,20,30,data.hullmods.Meng_fire_TargetingCore,火羽战术部门设计出的独有的目标定位系统，通过启动与舰船定位系统搭配的武器槽位的第二种寻敌模式，大幅度更改武器射程。,提高武器射程,,graphics/Meng/hullmods/Meng_fire_targetingcore.png
幅化装甲集成,Meng_fire_HardArmor,,,火羽计划,"defensive,Meng_fire_hullmod",防御,10000,,,,2,5,7,10,data.hullmods.Meng_fire_HardArmor,将幅化装甲集成至虚子炉幅散体系中，这是火羽防御体系与圣殿技术的一次成功结合。,装甲强化,#免除护盾承受伤害增加的效果,graphics/Meng/hullmods/Meng_fire_hardarmor.png
火羽安全协议,Meng_fire_SafeFlux,,,火羽计划,"defensive,Meng_fire_hullmod",防御,10000,,,,4,8,12,20,data.hullmods.Meng_fire_SafeFlux,出于对火羽计划舰船异构幅能系统的安全性的担忧，火羽研究所为舰船配置了一个过载安全协议，可以暂时超频虚子炉来化解困境。,过载免疫,,graphics/Meng/hullmods/Meng_FireSafe.png
火羽幅能核心,Meng_fire_FluxEnhance,,,火羽计划,"special,Meng_fire_hullmod",特殊,10000,,,,2,5,7,10,data.hullmods.Meng_fire_FluxEnhance,火羽研究院针对舰队学说中幅能体系的不同侧重，为火羽舰船提供了一套通过调配幅能系统来增强舰船性能的方案。,性能强化,"#每点幅能耗散器改造+ %s 武器伤害。
#每点幅能寄存器改造- %s 舰船承受的伤害。",graphics/Meng/hullmods/Meng_fire_Fluxenhance.png
火羽进攻战术套件,Meng_fire_AttackCore,,,火羽计划,"special,Meng_fire_hullmod",特殊,10000,,,,3,6,9,15,data.hullmods.Meng_fire_AttackCore,尽管火羽研究院认为自己的设计行走在正确的道路上，但仍然提供了一套通过改造舰船结构来弥补一部分幅能网络劣势的方案。,辐能调整,f,graphics/Meng/hullmods/Meng_fire_AttackCore.png
熵增,Meng_fire_EntropyInc,,,火羽计划,"special,Meng_fire_hullmod",特殊,25000,,,,4,8,12,20,data.hullmods.Meng_fire_EntropyInc,熵增原理——系统的混乱度永远趋向于最大化。这项技术故意利用虚子炉特殊的熵系统，在可限制程度上打破了它的能量平衡。,强化输出,,graphics/Meng/hullmods/Meng_fire_EntropyInc.png
空展熔炉,Meng_fire_Energy,,,火羽计划,"special,Meng_fire_hullmod",特殊,50000,,,,4,8,12,20,data.hullmods.Meng_fire_Energy,火羽研究院的学者们在虚子炉的深层结构中发现了“空间延展”现象——一种能够将辐能暂时封存于亚空间的特殊衍生成果。这项突破性的发现让舰船获得了前所未有的辐能调度能力，在能量的蓄积与释放之间寻找到时间的缝隙。,辐能调整,,graphics/Meng/hullmods/Meng_fire_Energy.png
虚数相位线圈,Meng_fire_Phasecore,,,火羽计划,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,TRUE,TRUE,,0,0,0,0,data.hullmods.Meng_fire_Phasecore,在虚子炉制造出的交叉维度潮汐中诞生的相位系统，舰船可以冒着结构损伤的风险潜入充斥着空间乱流的浅相位空间，在深度相位空间中受到的钳制将会被完全解放。,辐能调整,,graphics/Meng/hullmods/Meng_fire_Phasecore.png
,,,,,,,,,,,,,,,,,,,
星核熔炉,Meng_Starcenter,,,Embers-阶梯计划,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,FALSE,TRUE,,0,0,0,0,data.hullmods.Meng_Starcenter,这艘舰船以一座藏于舰体的高能熔炉作为能源核心，传言它甚至可以熔炼星核的物质为己用。星核熔炉能量供给过于夸张和不稳定，因此需要专门为其打造的轨道器械进行约束。,星辰之力,,graphics/Meng/hullmods/meng_starcenter.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
间歇维度触角,Meng_Yuanzhixing_center,,,神的遗留,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,FALSE,TRUE,,0,0,0,0,data.hullmods.Meng_Yuanzhixing_center,圣殿对那些匪夷所思技术的集成表征，小型化的舰体无法提供触碰亚空间的力量，但是它能循环导入武器爆发时的能量，短暂撬开维度的间隙，提高自身时间流速。,周期增益,,graphics/Meng/hullmods/Meng_Yuanzhicenter.png
龙之心,Meng_Dragonheart,,,Embers-阶梯计划,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,FALSE,TRUE,,0,0,0,0,data.hullmods.Meng_Dragonheart,"这艘在科学与神学的狂想中架构的舰船，是圣殿的""阶梯计划""中创造出的怪物，那帮疯子经过无数年的研究，用未知来源的生物组织培育出了一颗心脏，那也是这艘舰船的核心。与一切能量源都不同的是，这颗心脏拥有着自己的""情绪""，当它感到愤怒时，它的怒火将会把一切都焚烧殆尽。",伤害强化,,graphics/Meng/hullmods/Meng_Dragonheart.png
龙鳞一体化装甲,Meng_DragonArmor,,,Embers-阶梯计划,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,FALSE,TRUE,,0,0,0,0,data.hullmods.Meng_DragonArmor,这艘舰船拥有着生物的特质，它外层覆盖着厚重的龙鳞装甲，可以格挡部分伤害。这些外壳与本体不可分离，共同存亡。,防御,,graphics/Meng/hullmods/Meng_Dragonwing.png
,,,,,,,,,,,,,,,,,,,
维度定位核心,Meng_MBoss_target,,,虚想树,"no_drop,no_sell,no_drop_salvage",目标定位,,FALSE,TRUE,,0,0,0,0,data.hullmods.Meng_MBoss_target,,目标定位,,graphics/Meng/hullmods/Meng_MBoss_target.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
