id,type,text1,text2,text3,text4,notes
Meng_MBossweapon,WEAPON,叙述原初之刻，开天辟地之时，残响虚无之音，环绕众星之首，倒转七日创世之史，此乃净光终焉之证！,,,,
Meng_SpeaceLocker,WEAPON,在探索利用恒域注视的道路上充满着坎坷，但阶梯计划终于第一次实现了对差分空间锁的引导。这是冥河主动控制“冥”力量的出口，圣殿称之为锁空监牢。充盈来自“冥”印记的弹体将会完全指引其注视的投射，将闭锁的监牢在目标位置完全展开。,- 圣殿研究日志,,,
Meng_fire_firefly,WEAPON,"""什么？让拟态金属包裹着不同的火药，再请Ella小姐分布式操控它们爆炸？你小子真是个天才！成本问题就让后勤部门那些家伙头疼去吧，他们可没少克扣我们的经费。""",- 火羽研究院Lotta组长课题组内的对话,,,
Meng_fire_sunder,WEAPON,"在火羽计划末期大部分武器已经定型的时候，应对灾难而生的武器体系面对重装甲的无力日益凸显，于是，这门搭载了不稳定等离子体的实弹弹头武器被开发了出来，无论是多么厚重的装甲都会被它轻易撕碎，这也是""焚天""破裂者诞生的使命。",,,,
Meng_fire_smartgun,WEAPON,操控磁场是圣殿最炙手可热的研究课题之一，火羽计划的研究员们自然不会将其落下，火羽研究所利用从相位空间投射的磁场约束智能炮发射的磁性炮弹，强迫其沿着划定好的路线命中目标。比起光束引导铺设的高强度磁场，这一新方式拥有着低廉的代价，但也导致智能炮造成的杀伤力并不理想。,,,,
Meng_hummingbird,WEAPON,"""我记得，在数十前的Embers上，栖息着和古地球类似的一种鸟类，它们灵动而精准，美丽而优雅。我要将这门武器命名为蜂鸟，在被埋葬的历史里它们的数量稀少，但我希望人们都能见到它们成群结队的样子，就当是致敬古代人的浪漫吧。""",- 火羽研究院Candace长老在项目申请表上的批注,,,
Meng_flare,WEAPON,将实弹送弹口对接在激光武器上，这是火羽研究院的又一力作，通过激光磁场推进加速无数细小实体弹丸组成的风暴，所照射之处的装甲将如同暴露在耀斑之下，顷刻间便会融化。,,,,
Meng_Spectrum,WEAPON,"""你们都知道我曾是一名旅行家，在被我色散开的无数星星的光谱里，我最欣赏的是流星划破大气的光晕。我要将我挚爱的场景放进我的作品，在艺术已经被时代埋葬的今天，我会向圣殿的所有敌人讲述我的浪漫。""","- 火羽研究院代号""旅行家""的组长在研讨会上的发言",,,
Meng_Scorch,WEAPON,炮弹离开炮膛，目标摧毁，这就是武器生来的宿命。不同的是，火羽研究院将这中间的过程看的更重，焦痕导弹作为缩短这一过程的大成之作，在其出膛之时，一切不具备最高效防空火力的舰船能做的事情只剩下祈祷。,,,,
Meng_HotSun,WEAPON,"""我很讨厌昆虫，尤其是漫天飞舞的细小飞虫，在我出生的那颗热带星球上到处都是这样的虫子。那时候的我常常会想有没有什么东西能将它们统统烧成灰烬，而现在我终于能肯定地告诉自己，有的，小家伙，有这样的东西。""",- 火羽研究院Albert研究员的项目日志,,,
Meng_Tombkeeper,WEAPON,"""我们都是上个时代的守墓人。""大长老Rocifer曾经这样说过，圣殿正是靠着谨言慎行走到了今天——当然，让敌人们无法再开口也是圣殿谨言慎行教诫的一部分。比起通过自我约束来守护自己的圣地，圣殿更热衷于让觊觎者们彻底毁灭。",,,,
Meng_flare_fighter,WEAPON,战机型的耀斑，通过轻量化与小型化将其适配于舰载机，拥有较长射程的同时也具备不俗的破甲能力。,,,,
Meng_fire_sharpnel,WEAPON,"""不尽""级巡洋舰特有的内置武器，将震荡金属填入高强度材料铸造的炮管，经由虚子炉特有的高出力推动，这门武器可以在一瞬间多次倾泻出巨量的破片弹药，足以将一切被撕开了装甲的敌人彻底毁灭。",,,,
Meng_lightoffinner,WEAPON,"""熄灯人""狂暴的异构虚子炉，让它能够做到将多余热量从舰船前端的四个辐能喷口喷射出去，以此来降低辐能水平。“越原始，恰恰越具有力量。”熄灯人武器设计组如是报告道。",,,,
Meng_fire_spike,WEAPON,聚变，爆燃，这似乎是火焰与生俱来的特性。但睿智的火羽研究所设计师另辟蹊径，它们将这门武器比作另一种火焰，一如附骨之蛆，在层层螺旋的燃烧中，倾听着敌人不堪重负的呻吟。,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
# SHIPS,,,,,,
Meng_Xushu,SHIP,"""在那棵大树的顶端，至高的王冠灿若明星。""传说中的灿烂文明终究是陨落了，巨木颠倒，支柱尽毁，最后的星之子被困在四片世界之中，慢慢地只剩下了一个声音。树之牢，正如它的名字一样，这是困住最后一片世界的牢笼，它是被颠倒了的巨木的叶片，是构成那场灾难的最底层的护卫。

星之子，那片文明最后的遗迹，引发灾难源头的存在被牢牢困死在这艘护卫的内部，超越维度的空间容纳着最后的一颗星球，这以神性命名的世界直至今日依然传出着一声声呼唤，那个存在，她渴求着日夜期盼的解脱。

""至高之父，不是群星尽头的归宿。""",,,,
Meng_protect_boss1,SHIP,这艘死气沉沉的舰船散发着诡异的光芒，你想起了那位女孩的话，一旦让这艘舰船过载，某种高维的意志将会降临，到那时，一切的挽救手段都太迟了,,,,
Meng_protect_boss2,SHIP,这艘死气沉沉的舰船散发着诡异的光芒，你想起了那位女孩的话，一旦让这艘舰船过载，某种高维的意志将会降临，到那时，一切的挽救手段都太迟了,,,,
Meng_protect_boss3,SHIP,这艘死气沉沉的舰船散发着诡异的光芒，你想起了那位女孩的话，一旦让这艘舰船过载，某种高维的意志将会降临，到那时，一切的挽救手段都太迟了,,,,
Meng_timeboss,SHIP,"没有人知道回到过去是什么样的感受——直到旧学院的阶梯计划成功实施，圣殿凭借着旧学院的信标密钥寻找到了那条名为时旅者的舰船残骸，在数月之后将其修复。时旅者的重建代表着旧阶梯计划的重启，知晓那个计划存在的教徒们纷纷动摇了自己的虔诚。它是时间的缝隙中的旅行者，这艘舰船拥有着名为噬时之瓶的集成系统，可以收集超越维度的信息——自身的时间，并在必要的时刻打破平行宇宙的限制，将自身的状态调整回希望的过去。时旅者肩负着圣殿探索危险之地的任务，没有谁比它更能承担代价了。

在十年前，对打捞回的时旅者进行修复的研究组里流出了一个传言：噬时之瓶足以抵挡最高能激光与动能冲击的特殊合金架构总共遭受了两次巨大的破坏。经过数据分析之后工程师们怀疑，在旧学院研究记录中绝不能完全解放的时间源点疑似被彻底打开了两次，这也导致噬时之瓶收集时间概念的速度远不如初。",没有人知道回到过去是什么样的感受——直到旧学院的阶梯计划成功实施，圣殿凭借着旧学院的信标密钥寻找到了那条名为时旅者的舰船残骸，在数月之后将其修复。时旅者的重建代表着旧阶梯计划的重启，知晓那个计划存在的教徒们纷纷动摇了自己的虔诚。它是时间的缝隙中的旅行者，这艘舰船拥有着名为噬时之瓶的集成系统，可以收集超越维度的信息——自身的时间，并在必要的时刻打破平行宇宙的限制，将自身的状态调整回希望的过去。时旅者肩负着圣殿探索危险之地的任务，没有谁比它更能承担代价。,,,
Meng_MingGod,SHIP,"阶梯计划最后一块拼图在余烬之后的时代终于完成了，差分空间锁——时旅者在无故消失的行星坐标位置找到的人造物品，在长老院的研究日志中，差分空间锁中存储的高密度异空间与这片宇宙格格不入，空间的撕裂与剥离在被称为锁的架构中不断上演，圣殿无法探究其真正的内核。在付出了可能引发第二次“灾难”的代价之后，长老院终于找到了适度引导其中高密度异空间的方法，研究院认为在空间锁的内部存在着某种活着的意志，并将其命名为“冥”。通过引导“冥”的活跃特性，差分空间锁最终被集成在了这艘称为“冥河”的舰船之中。

作为最后铸造出的触碰“界限”之物，冥河级引导下投射的差分空间驾驭着空前的暴力，“冥”的意志似乎热衷于对注视的目标施加极端的毁灭，这正是长老院希望看到的。数之不尽的空间裂缝与虚无空间在“冥”的注视下诞生，利用差分空间轻微的外泄达成的空间扰动几乎对空间锁来说没有任何损耗，在新时代下，冥河级是绝无仅有的杰作。这驾驭着如同神明伟力的舰船引起了人心底最本质的贪婪，圣殿委任的舰长EtrnOlyet在执行外勤任务时策反了随行的舰队，带着一支火羽行动组永远脱离了圣殿的怀抱。这位反叛者正在宇宙的角落集结自己的力量，空前膨胀的野心让EtrnOlyet自称为神明，她甚至将冥河级更名为“冥域之神”。但是神座下的造物都无法脱离我们的视野，凡人是不可能比肩神明的，教徒，是时候让她认清真相了。",,,,
Meng_MouMengship,SHIP,“这是宇宙中乍现的星河。”传言中如是说道，当星辰的光芒亮起，就已经为敌人划定了结局。圣殿阶梯计划的三号神格星月级轨道舰窃取的是纯粹的能量源，传说中的星核熔炉赋予了它极致的性能。但这转瞬即逝的绚丽背后的也有着巨大的代价，曾经装载着这个熔炉的是另一艘舰船，只有少数人记得，它最后的轨迹贯穿银河，带给了敌人与自己同等的毁灭。在那背后又隐藏着怎样的故事呢？只有一个人知道吧，那道星辰坠落的轨迹，是它留在寰宇间最后的泪滴。,,,,
Meng_Xufighter,SHIP,“研究结果已经出来了，或者说完全没有出来，神奇的空间架构让如此之小的舰载机拥有了可怕的性能，我们无法理解其中的运作机理。但是现在LPC已经到了我们手里。虽然很不应该，但是作为一个科学家我却不得不告诉您，这是神话，长官。”,,,,
Meng_Yuanzhi,SHIP,这只是圣殿长老院数十年以来的结晶里最微不足道的部分，但它是其中极其少有的实现了量产的舰船。这艘先进的超级护卫舰已经完全超越了速子科技引以为豪的亥伯龙级，它以不匹配于槽位的超常规火力，无数次达成了越级歼灭敌人的壮举。在神秘的圣殿外围流传着关于它来历的传说：据说它的设计构想与技术并不来自于某群人的头脑，而是来自于一种超乎想象的，不存于现实的东西，除了最初的那艘原型机以外，其他的源质星级充其量只是一次拙劣的模仿——而且根本算不上成功。,,,,
Meng_Starkiller,SHIP,“这是一个怪物。”传言中如是说道，缔造这个怪物的人试图触及神灵的秘密，因此传说中的巨龙腾空而起，这是圣殿最终极的力量之一。没有人知道它是如何被创造出来的，人们说，这艘舰船不像是一艘钢铁的造物，在掩埋在历史的史诗之中，还有人记得这条巨龙在战场上愤怒的咆哮。这艘舰船是旧学院“阶梯计划”的落幕，代表着圣殿最强的利爪，在那段尘封的岁月里，这条巨龙将一切贪婪的目光焚烧殆尽。,,,,
Meng_fire_spark,SHIP,"它是圣殿火羽计划的第一步，虚子炉第一次运转的光芒照亮了匆匆成立的火羽研究所，星火级看似离经叛道的幅能系统实则充满着对于 ""那个灾难"" 的考量，也正式构筑起了火羽计划的基调。

作为第一艘设计不够完善的护卫舰，星火级拥有低到可怜幅能耗散，相对的，研究院将大量内部空间倾斜至幅能容量存储系统，这相对稳妥的设计延续了厚重装甲的思路，后来研究所将这种幅能容量突出而耗散极低的“一次性”幅能系统命名为突破型舰船设计。",,,,
Meng_fire_firewood,SHIP,"在火羽计划初期，为了将虚子炉应用于舰船当中，先前研制了星火级来验证整个幅能体系的可行性。虽然取得了成功，但虚子炉的性能仍未能妥善发挥。考虑到突击型设计思路与重甲体系对虚子炉的限值过多，设计师不得不另辟蹊径，对其进行大刀阔斧的研制改进—薪木级便是如此被设计出来的。

通过彻底放弃对于幅能容量的侧重，将几乎全部的舰船资源用于幅能耗散当中，与突破型舰船设计截然不同的另一种极端设计诞生了，火羽研究所将其命名为突击型舰船设计。原先的武器槽位也有了更多的空间使其变的多元化与泛用。

尽管圣殿内部的叛乱事件让薪木级的研制进程被严重影响，甚至差点夭折于设计图中，但仍有少量原型舰保留了下来。经过不断的改善，最终成为了火羽计划的一枚里程碑，尽管设计理念的改动并不一定正确，但对于火羽计划而言，这一转变是完全成功的。",,,,
Meng_fire_arsonist,SHIP,"纵火者是顺应时代的宠儿，继护航学说被提出之后，重型驱逐舰的必要性逐渐凸显，火羽研究所最终投入大量精力，打造出了位于同级别火力顶点的纵火者级重型驱逐舰。

纵火者完全沿袭着火羽计划的理念，是虚子炉幅散体系的集成之作，拥有厚重装甲与平衡幅能管道的纵火者级哪怕是在常规战场中也是不容忽视，甚至是让人闻风丧胆的存在，其搭载的重火力平台与护航的飞行甲板更是让这一设计再无短板。

然而，纵火者窄小的护盾系统与偏低的机动性让它在战场中的表现总出现失常，甚至一度与霸主的旗舰一同沦为相位舰长的笑柄。",,,,
Meng_fire_firesmoke,SHIP,"护卫舰阶段完工的庆祝并未持续多久，将虚子炉集成到更大型舰船上的议案再次下发到火羽研究所，这一阶段并不复杂，因此烟火级应运而生。

烟火作为更大型的突破型驱逐舰，厚重的装甲下极高的幅能容量让他成为阵线的中流砥柱，但是偏低的航速往往让其表现并不理想。",,,,
Meng_fire_firewatch,SHIP,"助燃级突击驱逐舰是在保守派呼声日益高涨的当下应运而生的高级驱逐舰，与所有前身不同的侧重方向使其弥补了火羽战斗群的防卫短板，让中小集群作战真正成为可能。

助燃没有纵火者高效的火力，也没有格外高效的机动性，但是它拥有极其厚重的装甲，出色的武器系统与超规格的幅散网络，均衡的舰体数据让其成为协助投射火力、甚至成为主力的一大干将。

但是没有短板也就代表着不够突出，无法快速创造战术价值也让其在火羽战斗理论中成为离经叛道的所在。",,,,
Meng_fire_redfeather,SHIP,"随着火羽计划的投入与灾难端倪的逐渐呈现，中大型舰船秉持着独特，高效，针对性的理念逐一问世，首当其冲的就是赤羽级巡洋航母。

赤羽拥有着令人诧异的武器配置，堪称贫瘠甚至可怜的武器槽位常常让初识者哑然失笑。然而，抛弃了大量空间特化并大刀阔斧改造后的虚子炉框架成功达成了分布式集成的目的，其成功改造并足以维护相当数量的，搭载了极端化虚子炉的舰载机，在幅能网络回流之后，转而将第二次幅能导流注入的舰载机，其投射出的火力网如同抖落的火羽，带来火羽计划唯一制空舰船的毁灭。",,,,
Meng_fire_endless,SHIP,"""我们的火焰不会熄灭，如同宿怨一般永无休止。""不尽级作为超规格的先进巡洋舰登上星系舞台时，正是圣殿内忧外患之际，出于历史上刻骨铭心的仇恨，圣殿研究院以极光级巡洋舰为样本，改造出了不尽级特有的虚子炉系统。不尽同时搭载了两门重火力霰射炮，这使得其在敌方显露颓势之际拥有一集克敌的手段。

不尽拥有着高超的机动性，但它往往不是利用这一点进行迂回骚扰，而是冲入敌方阵线。当不尽级所有的引擎喷口亮起时，圣殿的敌人往往会遭到无休无止的进攻。",,,,
Meng_fire_StageFire,SHIP,这是火羽行动组的驿马，这艘货船秉持着圣殿惯有的秘密风格，在拥有较高的超空间航速的同时搭载了屏蔽货舱，往往能规避大多数势力的检查。驿烛同时拥有着厚重的装甲与可堪一用的武器系统，作为巡洋级别的货船，它肩负起大多数圣殿来往的货运职责。,,,,
Meng_fire_fuse,SHIP,"导火索级突破战列舰是第一条极具战术价值的大型舰船，其虚子炉并没有经历太大的异构，但这正是符合其火羽战术理论的改造。

导火索将大量成本投入电网的扩容，这将完美发挥虚子炉架构最普适的战力，而注入推进系统的导流网络将会在虚子炉运作时，使其拥有足够的机动价值，以完成重要且必要的战术目的。

导火索正如其名，以其超规格的机动性以及虚子炉的特性，成为战场中的变数和无法被轻易集火的强力支点。",,,,
Meng_fire_offlight,SHIP,"“在飘散的火羽中，熄灭最耀眼的明灯。”这正是对这条名为“熄灯人”的突击战列舰最真实的描述，作为火羽计划的真正顶点，经历完全重构的，独一无二的异构虚子炉系统随着熄灯人的落地，终于为火羽计划拉上了帷幕。

熄灯人搭载着被称为缓释导流体系的虚子炉系统，不同于暴力且不够灵活的传统虚子炉，它将可控幅散的幻想变为了现实，随着火力投射而逐渐排空的幅能网会让本处于均势的敌人感受到无力回天的绝望，亲手终结战场上最强大的敌人是熄灯人与生俱来的使命。

但熄灯人并非无法战胜，它的短板同样明显，低效的航速与机动性让它面对与其迂回作战的舰队时如同攻势一样尽现颓势。",,,,
Meng_fire_firelight,SHIP,"飞蛾始终与火光相伴，隐匿在阴影中的逐光者级相位巡洋舰，始终追逐着敌方舰船毁灭的光影，飞蛾扑火，直至燃尽自我，这是它与生俱来的使命。

逐光者是虚数相位线圈在更大型舰船上的尝试，火羽研究所长老曾断言，巡洋舰级别的逐光者已经是潜入浅层相位空间的极致。",,,,
Meng_fire_brandwing,SHIP,"“我曾梦到过那只鸟，它挥动着燃烧火焰的翅膀，只为歌唱将至的黎明。”燔翼级相位驱逐舰利用虚子炉成功潜入浅层相位空间，这是一个能与现实产生直接交互的维度，也因此可以给予圣殿的敌人们无法抵抗的毁灭。

潜入被称之为虚数空间的浅层相位空间要付出高昂的代价，舰体结构在空间潮汐中被不断撕裂，而扰乱维度产生的波动会干扰附近所有舰船，如同过于靠近烈焰会被一同点燃。",,,,
Meng_witness,SHIP,在历史中从不缺乏见证者，在战场上同样如此，观火无人火力平台能在远距离投射稳定的高爆火力，在关键时刻将敌人彻底推向深渊，它就如同圣殿一直以来的态度：隔岸观火，直至审判的时刻到来。,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
# WINGS,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
# FRIGATES,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
# DESTROYERS,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
# CRUISERS,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
# PLANETS,,,,,,
Meng_Combus,CUSTOM,这里曾经是硝烟遍布的战场，如今圣殿组织在这个已经被遗忘的历史之地悄然壮大。这里南方大陆最高的山峰上坐落着圣殿组织唯一的要塞，无数佣兵与外围教徒频繁出入，但传说中的圣殿核心却不知位于何处。,,,,
Meng_StarshipMist_type,CUSTOM,一处看似废弃的遗迹，但是你也知道其中隐藏着一些秘密...,,,,
Meng_embers_des,CUSTOM,一颗正值壮年的黄矮星，但你的技术官时常从它的方向检测到些微的数据扰动。,,,,
Meng_Cardiac,CUSTOM,这里是余烬圣殿的中心矿场，它完全肩负起了圣殿庞大的矿产与重工业需求，被称为余烬圣殿的肺脏。,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
# SHIP-SYSTEMS,,,,,,
,,,,,,
Meng_Xusystem,SHIP_SYSTEM,将巨大范围内的引力子坠入P空间，摧毁脆弱的导弹并形成等伤害的时空裂隙，组成抽象的画布，将所有敌人封锁在凝滞的时空里，完全定身且大幅度降低时间流速。————神在更高的维度落笔，你我便皆是画中之物。,,,,
Meng_tps,SHIP_SYSTEM,撕裂维度的间隙。,,,,
,,,,,,
,,,,,,
Meng_Timesystem,SHIP_SYSTEM,释放噬时之瓶内全部的时间源点，重整这片战场的时间规律，将时间加速到近乎停止。,,,,
Meng_Kongjianposui,SHIP_SYSTEM,将指定地点周边2000su范围的空间剥离，在此范围内引发时空震荡并产生空间裂隙，对位于其中的敌方舰体进行切割，造成巨额伤害。,,,,
Meng_Starfalling,SHIP_SYSTEM,暂时解放星辰熔炉的轨道约束，将核心的力量加注己身，使舰船进分化为两个相位投影，其中之一潜入P空间定位传送坐标，另一投影化身星河凝聚的刀刃穿过锁定的目标舰船，对其进行终结性斩击，对方状态越差该斩击伤害越高。当目标舰船因该斩击停机，熔炉将因散逸的能量再次充能，且根据其舰船规模强化后续斩击，可再次选择下一目标进行斩击，该斩击最多可连续进行四次，之后舰船回归现实并完成传送。当萌萌为军官时，此技能使用次数无限。,,,,
Meng_burndrive,SHIP_SYSTEM,被污染者发出绝望的哀嚎，未知的污染力量渗透了驱动装置，舰船在短时间内潜入P空间并向前加速驱动。,,,,
Meng_Kill_to_damage,SHIP_SYSTEM,大量倾注储备的能量激活源质阱，在短时间内大量增加武器伤害，且在此期间击毁敌方舰船将小幅度增加舰船峰值。,,,,
Meng_Dragon_Wing,SHIP_SYSTEM,异宙龙自如的切换装甲模块，就像控制自己的身体，当双翼展开时，舰船将获得移速加成并在幅能不超过一半时保持零幅能加速，当双翼收拢，舰船将暴露出隐藏的武器，提高幅能耗散与护盾效率，但降低航速。,,,,
Meng_MBosssystem,SHIP_SYSTEM,空宇之内海，时宙之彼方，那是星树矗立之处，唯有无罪之人方可抵达。启用此战术系统后舰船本体无法移动，舰载机质点将环绕舰体积攒幅能，当幅能充满时，逆创世纪解锁。,,,,
Meng_MBoss_Phase,SHIP_SYSTEM,潜入相位空间，并可在相位期间使用投射类武器。启动后持续消耗幅能与结构，其中之一达到界限将会被相位空间弹出。,,,,
Meng_fire_fluxtrans,SHIP_SYSTEM,将舰船炉芯内外幅能压力重新导流，短时间内解放幅能网络。在战术系统启动与结束时，舰船的软硬幅能水平将互相转换。,,,,
Meng_fire_fluxtrans_wingsacc,SHIP_SYSTEM,"将舰船炉芯内外幅能压力重新导流，短时间内解放幅能网络，并将第二次回流导向舰载机的极端虚子炉。在战术系统启动时，舰船的软硬幅能水平将互相转换，并在持续期间使舰载机与其搭载的导弹速度与机动性翻倍,轰炸机将在更远的距离投弹。",,,,
Meng_fire_fluxtrans_attackcore,SHIP_SYSTEM,为敌人吹灭象征存在的灯火，异构虚子炉完全开放，舰船武器系统全面接入幅散网络，缓释舰船的硬幅能水平。在战术系统启动时，舰船武器产生的幅能将不再是硬幅能，并会以双倍降低舰船硬幅能水平。,,,,
Meng_fire_fluxtrans_fuseacc,SHIP_SYSTEM,将舰船炉芯内外幅能压力重新导流，短时间内解放幅能网络。在战术系统启动与结束时，舰船的软硬幅能水平将互相转换，并在持续期间内增加少量航速与机动性。,,,,
Meng_fire_fluxtrans_endless,SHIP_SYSTEM,引导不尽的律动，高度异构虚子炉启动特殊系统，战术系统期间大幅增加机动性与最高航速，在启动期间每隔 3 秒将 1/3 的软硬幅能互相转换，并产生小幅度的爆发加速。,机动,引导不尽的律动，高度异构虚子炉启动特殊系统，战术系统期间大幅增加机动性与最高航速，在启动期间每隔 3 秒将 1/3 的软硬幅能互相转换，并产生小幅度的爆发加速。,3|1/3,
Meng_fire_fluxtrans_phase,SHIP_SYSTEM,利用异构虚子炉产生的维度潮汐撬动物理定律。在战术系统启动与结束时，舰船的软硬幅能水平将互相转换，而软硬辐能水平差值的 30% 将转换为结构值回复。,,利用异构虚子炉产生的维度潮汐撬动物理定律。在战术系统启动与结束时，舰船的软硬幅能水平将互相转换，而软硬辐能水平差值的 30% 将转换为结构值回复。,30%,
Meng_fire_phasecoil,SHIP_SYSTEM,利用虚数相位线圈，顺应维度潮汐潜入浅层相位空间。直接清空当前辐能并根据当前辐能水平增加潜行时间，舰船可以在相位空间开火并正常耗散辐能，舰船结构将在维度潮汐中被撕裂，每秒减少 2% 结构值，并减少 80% 的结构恢复效率。,,利用虚数相位线圈，顺应维度潮汐潜入浅层相位空间。直接清空当前辐能并根据当前辐能水平增加潜行时间，舰船可以在相位空间开火并正常耗散辐能，舰船结构将在维度潮汐中被撕裂，每秒减少 2% 结构值，并减少 80% 的结构恢复效率。,2%|80%,
