name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
星源炮,Meng_Starbeam,3,,20000,1000,2200,,300,0,7,40,,,,ENERGY,0,2300,1.0,0.5,3,12,0,0,0,0,4000,,,,,,,"DANGEROUS,SYSTEM,SHOW_IN_CODEX","restricted,no_drop",,神的遗留,,限制移动,极快,,,,光束发射期间命中的目标将会被星核逸散的能量冻结，无法移动并会受到易碎标记，在五秒内装甲减免降低。,,,,,511.9
星核凝滞炮,Meng_Starbeam_m,3,,20000,800,600,,300,0,7,40,,,,ENERGY,0,650,0.3,0.5,1,6,0,0,0,0,6000,,,,,,,"SYSTEM,SHOW_IN_CODEX","restricted,no_drop",,神的遗留,,限制移动,极快,,,,光束发射期间命中的目标将会被星核逸散的能量冻结，无法移动。,,,,,511.9
扭曲之源,Meng_protectshipweapon1,3,,20000,1000,2000,,300,0,7,40,,,,ENERGY,0,1200,1,0.5,3,10,0,0,0,0,8000,,,,,,,"SYSTEM,SHOW_IN_CODEX","restricted,no_drop",,神的遗留,,普通,,,,,,,,,,511.10
污染芯核加农炮,Meng_tpc,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,"SYSTEM,SHOW_IN_CODEX","restricted,no_drop",,神的遗留,,普通,,,,,,,,,,512.1
星之泪光效,Meng_Starshiplight,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,512.4
锁空监牢,Meng_SpeaceLocker,0,,100000,1000,,3000,500,100,0,,,,,ENERGY,3000,,0.5,20,1,,0,0,0,5,,1000,0,10,100000,,,"SYSTEM,SHOW_IN_CODEX,DANGEROUS","restricted,no_drop",,Embers-阶梯计划,,投射领域,中,,,,弹体命中目标将在目标周围展开封锁领域，目标无法离开此区域，持续时间为武器冷却时间的一半，并且此期间冥神发射的所有弹体武器均将生成等量投影从领域周围随机向中心发射。,,,,,512.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙息,Meng_Dragonfire,3,,10000,1100,,1400,300,100,10,40,,,,ENERGY,1200,,1,5,1,,0,2.5,1,5,,1200,,,10000,,,"DANGEROUS,SYSTEM,SHOW_IN_CODEX","restricted,no_drop",,Embers-阶梯计划,,普通,极快,,,,异宙龙级凝聚核心能量，喷吐龙之烈焰，龙焰在命中目标时将产生5道emp电弧。当舰船充盈龙力时，下一次发射将会转变为持续五秒的龙息喷吐，造成毁灭性的伤害。,,,,,511.9
终末之息,Meng_Dragonfire_Max,3,,100000,1000,,400,100,60,60,60,120,4,40,ENERGY,350,,,0.05,2,0.05,0,0,0,0,,700,,,,,,"SYSTEM,SHOW_IN_CODEX","restricted,no_drop",,未知,,普通,,,,,,,,,,
深渊之视,Meng_DragonbiuL,3,,10000,1000,,400,100,30,15,20,10,,,HIGH_EXPLOSIVE,300,,1,5,10,0.1,0,2.5,1,5,,550,,,200,,,"SYSTEM,SHOW_IN_CODEX","restricted,no_drop",,Embers-阶梯计划,,普通,极快,,,,,,,,,511.9
深渊之视,Meng_DragonbiuR,3,,10000,1000,,400,100,30,15,20,10,,,HIGH_EXPLOSIVE,300,,1,5,10,0.1,0,2.5,1,5,,550,,,200,,,"SYSTEM,SHOW_IN_CODEX","restricted,no_drop",,Embers-阶梯计划,,普通,极快,,,,,,,,,511.9
噬时之瓶,Meng_clockbuilder,3,,20000,50,,,,0,0,0,,,,ENERGY,0,1000,2,0.5,,5,0,0,0,0,8000,,,,,,,"SYSTEM,SHOW_IN_CODEX","restricted,no_drop",,Embers-阶梯计划,,时间回溯,,,,,噬时之瓶释放存储的时隙源点，延伸出虚幻的指针并开始向前选择时间，当噬时之瓶关闭后，舰船的一切状态将回溯到选取的时间点。每向前调整{%s{秒将会消耗{%s{点时隙源点，噬时之瓶未开启时每隔{%s{秒会充能{%s{点时隙源点，最多{%s{点。,1 |1 |6 |1 |15  ,,,,511.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙息蓄能光效1,Meng_Dragonfirelight_1,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,512.4
龙息蓄能光效2,Meng_Dragonfirelight_2,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,512.4
龙息蓄能光效3,Meng_Dragonfirelight_3,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,512.4
龙息蓄能光效4,Meng_Dragonfirelight_4,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,512.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noname左飘带,Meng_Noname_after_left,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,512.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noname右飘带,Meng_Noname_after_right,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,512.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时旅者反应堆,Meng_timebosslight,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,120.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
逆·创世纪,Meng_MBossweapon,0,,20000,1200,11111,,3000,0,0,40,1,,,FRAGMENTATION,0,0,7,3,7,30,0,0,0,0,3000,1000,0,10,100000,,,"DANGEROUS,SYSTEM","restricted,no_drop",,倒生树,,船体破坏,极快,,,,该武器完成蓄力后将会形成巨大的引力潮汐，排斥周围的一切物体。光束命中任何目标将会对周围所有目标产生大量电弧，造成{%s{破片伤害与{%s{emp伤害，光束具有极其强大的推力，并在释放完成后清空舰船幅能，关闭战术系统。,777 |777 ,,,,777.7
逆·创世纪右盖板,Meng_MBossweapon_right,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,777.7
逆·创世纪左盖板,Meng_MBossweapon_left,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,777.7
蝶衣,Meng_MBossweapon_blue,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,777.7
逆·创世纪,Meng_Noname_Weapon,0,,20000,1200,11111,,3000,0,0,40,1,,,FRAGMENTATION,0,0,3,3,14,30,0,0,0,0,15000,1000,0,10,100000,,,"DANGEROUS,SYSTEM","restricted,no_drop",,倒生树,,船体破坏,极快,,,,该武器完成蓄力后将会形成巨大的引力潮汐，排斥周围的一切物体。光束命中任何目标将会对周围所有目标产生大量电弧，造成{%s{破片伤害与{%s{emp伤害，光束具有极其强大的推力，并在释放完成后清空舰船幅能，关闭战术系统。,777 |777 ,,,,777.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
逐光者光效,Meng_fire_firelight_light,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
熄灯人光效,Meng_fire_offlight_light,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
导火索光效,Meng_fire_fuse_light,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
不尽光效,Meng_fire_endless_light,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
纵火者光效,Meng_fire_arsonist_light,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
烟火光效,Meng_fire_firesmoke_light,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
助燃光效,Meng_fire_firewatch_light,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
薪木光效,Meng_fire_firewood_light,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
驿烛光效,Meng_fire_StageFire_light,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
赤羽光效,Meng_fire_redfeather_light,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
星火光效,Meng_fire_spark_light,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
燔翼光效,Meng_fire_brandwing_light,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
引语光效,Meng_fire_silentwarlock,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
璃上层武器塔,Meng_fire_li_aboveweapon,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
璃左侧机翼1,Meng_fire_li_leftwing1,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
璃左侧机翼2,Meng_fire_li_leftwing2,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
璃右侧机翼1,Meng_fire_li_rightwing1,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
璃右侧机翼2,Meng_fire_li_rightwing2,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流炎火萤,Meng_fire_firefly,3,0.4,10000,750,,70,,10,15,25,,,,HIGH_EXPLOSIVE,108,,0,0.2,1,,2,10,2,10,,1200,,,20,,,,"energy18,Meng_fire_bp",,火羽计划,,通用,,,,,该武器发射高爆弹丸，该弹丸在命中护盾时会正常造成伤害并被弹开，逐渐停止在中等距离位置后点燃针刺火药再次向目标发射，造成{%s{点动能伤害。,70,,,,520.1
流炎火萤_针刺,Meng_firefly_multineedler,0,,6500,1000,,70,,10,15,28,,,,KINETIC,35,,0,0.1,1,,10,10,10,10,,1200,,,20,,,SYSTEM,"restricted,no_drop",,火羽计划,,反护盾,,,,,,,,,,520.2
星轨投射仪,Meng_Starproject,3,,20000,1000,300,,100,0,7,35,,,,ENERGY,0,200,1.0,1,,,0,0,0,0,1000,,,,,,,DANGEROUS,"energy18,Meng_fire_bp",,α设计,,反护盾,较慢,,,,当光束持续照射目标超过}%s}秒之后，将会每隔}%s}秒沿着光束轨迹发射}%s}发磁轨射弹，每发造成}%s}动能伤害，并增加}%s}舰船幅能。,3|2|4|300|250,,,,520.3
星轨投射体,Meng_Stargauss,3,,5000,1000,,300,,300,3,25,,,,KINETIC,250,,1,1,,,,,,,,1200,,,400,,,SYSTEM,"restricted,no_drop,meng_xutree",,火羽计划,,反护盾,,,,,,,,,,520.4
裂解脉冲炮,Meng_Cracking,3,,8000,700,,150,,0,20,22,50,5,,FRAGMENTATION,50,,0.025,0.025,1,,0,5,1,5,,1000,,,,,,,"kinetic8,Meng_fire_bp",,γ设计,,通用,,,,,,,,,,520.5
重力裂散炮,Meng_Gravity,3,,1300,500,,3000,,0,30,9,20,,,FRAGMENTATION,1000,,0.25,10,1,0,3,3,1,5,,1500,,,,,,DANGEROUS,"kinetic8,Meng_fire_bp",,β设计,,船体破坏,,,,,武器将以{%s{发{%s{破片伤害的霰弹形式发射在{%s{范围内均匀散布的弹体。,20|150|20°,,,TRUE,520.6
"""焚天""破裂者",Meng_fire_sunder,0,0.5,5000,850,,450,,200,5,20,,,,HIGH_EXPLOSIVE,810,,0,2.5,1,,0,10,5,10,,1000,,,400,,,,"he18,Meng_fire_bp",,火羽计划,,反装甲,,,,,武器的弹头将在命中位置额外产生一次等同于弹体伤害的范围爆炸。,,,,,520.7
"""赤镰""智能炮",Meng_fire_smartgun,1,,1500,750,,300,,15,30,11,,,,FRAGMENTATION,70,,0,1.5,4,0.2,0,0,0,10,,400,,,100,,,,"he16,Meng_fire_bp",,火羽计划,,通用,,,,,武器发射的弹体将会沿着固定曲线轨迹{%s{命中舰船锁定的目标，优先自动锁定最近敌方舰船。,必然,,,,520.8
蜂鸟,Meng_hummingbird,1,,450,450,,100,,1,85,2,,,,FRAGMENTATION,15,,0,0.4,1,,0,10,0.02,10,,1500,,,50,,,PD,"pd7,SR,Meng_fire_bp",,火羽计划,,点防御,,,,,,,,,,520.9
耀斑,Meng_flare,1,,2000,750,1000,,,0,15,13,,,,HIGH_EXPLOSIVE,,1000,0.25,0.5,1.5,10,,,,,3500,,,,,,,,"energy14, beam10,Meng_fire_bp",,火羽计划,,反装甲,,,,,,,,,,521
"""光谱""频射炮",Meng_Spectrum,0,,1500,750,,120,,10,15,13,20,1,1,KINETIC,105,,0,1,7,0.1,0,10,3,20,,900,,,30,,,,"kinetic12,Meng_fire_bp",,火羽计划,,反护盾,,,,,,,,,,521.1
焦痕导弹发射器,Meng_Scorch,1,,2000,2400,,800,,75,20,12,8,0.05,1,HIGH_EXPLOSIVE,0,,0,2.5,1,0.15,0,0,0,0,,800,100,3.5,450,,,STRIKE,"strike13, missile8 ,Meng_fire_bp",,火羽计划,,鱼雷,极快,无,,,,,,,TRUE,521.2
"""灼阳""净空投射器",Meng_HotSun,0,,1000,1200,,100,,15,20,7,180,1,2,FRAGMENTATION,0,,0,5,30,0.02,60,90,10,20,,400,,,50,,,PD,"pd7,SR,Meng_fire_bp",,火羽计划,,点防御,,,,,武器将在前方极大角度发射大量近炸引信的弹药。,,,,TRUE,521.3
"""守墓人""鱼雷发射仓",Meng_Tombkeeper,0,,7000,1300,,1600,,500,10,20,20,,,HIGH_EXPLOSIVE,0,,0,5,2,0,0,0,0,0,,2000,500,1,500,,,STRIKE,"strike16, rocket14, missile_bp,Meng_fire_bp",,火羽计划,,鱼雷,较快,无,,,武器将同时发射两颗高精度的高速鱼雷，该鱼雷在超出射程后仍具有极大的冲击力。,,,,TRUE,521.4
辐能喷口,Meng_lightoffinner,3,,100000,700,,100,,30,20,,30,1,1,ENERGY,-25,,,0.1,1,0.1,0,0,0,0,,600,,,,,,"SYSTEM,SHOW_IN_CODEX","restricted,no_drop",,火羽计划,,普通,,,,,武器在舰船辐能高于{%s{时解锁，每次开火降低 {%s{辐能。,50%|25,,,,521.5
螺炎,Meng_fire_spike,3,,5000,1200,,200,,300,5,,,,,KINETIC,300,,1,4,5,0.2,,,,,,1200,,,400,,,"SYSTEM,SHOW_IN_CODEX","restricted,no_drop",,火羽计划,,反护盾,,,,,弹体命中护盾时会附着在护盾上，每秒造成{%s{ 动能伤害，直到护盾撤销。,50,,,,521.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
耀斑(战机型),Meng_flare_fighter,1,,2000,1200,350,,,0,15,0,,,,HIGH_EXPLOSIVE,,200,0.25,0.25,1.5,6,,,,,3500,,,,,,,SYSTEM,"restricted,no_drop",,火羽计划,,反装甲,,,,,,,,,,521
"""点火者""霰射炮",Meng_fire_sharpnel,3,,10000,650,,4500,,0,30,0,2,0.2,1,FRAGMENTATION,1000,,0.25,1,1,0,0,0,0,5,,1500,,,,,,"DANGEROUS,SYSTEM","kinetic8,Meng_fire_bp",,火羽计划,,船体破坏,,,,,武器将以{%s{发{%s{破片伤害的霰弹形式发射在{%s{范围内均匀散布的弹体。,30|150|15°,,,,521.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
