name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,breakProb,minPieces,maxPieces,hints,tags,rarity,travel drive,number
冥河,Meng_MingGod,五号神格,Embers-阶梯计划,Meng_MingGod_Spacedamage,300,30000,2000,38000,55000,1600,360,,50,25,25,15,15,3500,FRONT,,300,0.2,0.7,,,400,1200,300,400,8,30,9,1500000,3,10,720,0.25,80,80,0.4,3,5,,Meng_embers,,,4400.9
星之泪,Meng_MouMengship,二号神格,Embers-阶梯计划,Meng_Starfalling,150,25000,2000,20000,40000,1400,340,,60,40,40,40,40,3500,FRONT,,180,0.3,0.8,,,20,440,5000,1000,10,30,8,4000000,3,10,1800,0.5,100,100,0.6,3,5,,Meng_embers,,,4400.10
源质星,Meng_Yuanzhi,超级护卫舰,圣殿,Meng_Kill_to_damage,20,1500,200,3000,2813,400,60,,140,180,175,90,250,3500,FRONT,,300,0.2,0.7,,,5,15,100,100,1,15,10,130000,8,40,240,0.25,18,18,0.75,2,2,,Meng_fire_bp,,,4401.1
左侧机翼,Meng_DragonLeftwing,机翼模块,圣殿,,0,25000,3000,0,,0,0,,50,50,50,50,50,1500,NONE,,,,,,,,,,,,,,,,10,,,0,0,,,,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,,4403
右侧机翼,Meng_DragonRightwing,机翼模块,圣殿,,0,25000,3000,0,,0,0,,50,50,50,50,50,1500,NONE,,,,,,,,,,,,,,,,10,,,0,0,,,,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,,4403
左侧装甲模块1,Meng_DragonLeftarmor1,装甲模块,圣殿,,0,25000,3000,0,,0,0,,50,50,50,50,50,1500,NONE,,,,,,,,,,,,,,,,10,,,0,0,,,,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,,4403
左侧装甲模块2,Meng_DragonLeftarmor2,装甲模块,圣殿,,0,25000,3000,0,,0,0,,50,50,50,50,50,1500,NONE,,,,,,,,,,,,,,,,10,,,0,0,,,,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,,4403
左侧装甲模块3,Meng_DragonLeftarmor3,装甲模块,圣殿,,0,25000,3000,0,,0,0,,50,50,50,50,50,1500,NONE,,,,,,,,,,,,,,,,10,,,0,0,,,,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,,4403
右侧装甲模块1,Meng_DragonRightarmor1,装甲模块,圣殿,,0,25000,3000,0,,0,0,,50,50,50,50,50,1500,NONE,,,,,,,,,,,,,,,,10,,,0,0,,,,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,,4403
右侧装甲模块2,Meng_DragonRightarmor2,装甲模块,圣殿,,0,25000,3000,0,,0,0,,50,50,50,50,50,1500,NONE,,,,,,,,,,,,,,,,10,,,0,0,,,,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,,4403
右侧装甲模块3,Meng_DragonRightarmor3,装甲模块,圣殿,,0,25000,3000,0,,0,0,,50,50,50,50,50,1500,NONE,,,,,,,,,,,,,,,,10,,,0,0,,,,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,,4403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
星火,Meng_fire_spark,护卫舰,火羽计划,Meng_fire_fluxtrans,4,2500,500,4000,1875,150,40,,160,120,100,60,90,300,FRONT,,150,0.1,0.8,,,20,40,45,30,1,30,10,15000,9,6,320,0.25,6,6,0.4,2,2,,Meng_fire_bp,,,4500
薪木,Meng_fire_firewood,重型护卫舰,火羽计划,Meng_fire_fluxtrans,8,3500,800,2000,1875,500,60,,130,110,100,55,80,400,FRONT,,210,0.1,0.8,,,30,60,60,40,1,30,10,25000,8,8,360,0.25,8,8,0.4,2,3,,Meng_fire_bp,,,4501
纵火者,Meng_fire_arsonist,导弹驱逐舰,火羽计划,Meng_fire_fluxtrans,16,6500,1150,3000,4167,200,120,1,80,45,25,25,35,550,FRONT,,120,0.2,0.8,,,60,120,150,120,2.5,30,8,62000,5,11,420,0.25,16,16,0.5,2,4,"COMBAT,CARRIER",Meng_fire_bp,,,4502
烟火,Meng_fire_firesmoke,驱逐舰,火羽计划,Meng_fire_fluxtrans,11,5000,1000,6500,4167,200,90,,85,60,30,30,15,500,FRONT,,300,0.2,0.8,,,50,100,100,70,2,30,9,45000,5,10,400,0.25,11,11,0.5,2,3,,Meng_fire_bp,,,4503
助燃,Meng_fire_firewatch,先进驱逐舰,火羽计划,Meng_fire_fluxtrans,15,6500,1200,4000,4167,600,115,,70,50,25,30,30,550,OMNI,,240,0.15,0.8,,,60,120,120,100,2,30,9,60000,5,10,440,0.25,16,16,0.5,2,3,,Meng_fire_bp,,,4504
赤羽,Meng_fire_redfeather,装甲航母,火羽计划,Meng_fire_fluxtrans_wingsacc,16,10000,1500,5000,6000,200,130,3,65,20,15,15,15,800,FRONT,,240,0.4,0.8,,,150,300,120,90,3.5,20,8,130000,3,12,360,0.25,22,22,0.5,2,3,"COMBAT,CARRIER",Meng_fire_bp,,,4505
驿烛,Meng_fire_StageFire,高速货舰,火羽计划,Meng_fire_fluxtrans,7,7000,1000,2750,3000,150,60,,60,20,10,10,10,1500,FRONT,,150,0.5,0.8,,,40,200,900,120,4,30,8,40000,3,20,480,0.25,6,6,0.5,2,3,"CIVILIAN, FREIGHTER",Meng_fire_bp,,,4509
不尽,Meng_fire_endless,巡洋舰,火羽计划,Meng_fire_fluxtrans_endless,16,8000,800,8000,4167,450,145,,70,40,30,15,15,900,OMNI,,180,0.15,0.8,,,200,350,140,100,3,30,9,140000,5,10,440,0.25,18,18,0.5,2,3,,Meng_fire_bp,,,4508
导火索,Meng_fire_fuse,突破战列舰,火羽计划,Meng_fire_fluxtrans_fuseacc,30,13000,1500,25000,30000,300,275,,70,25,15,10,5,2300,OMNI,,120,0.25,0.8,,,350,500,350,350,10,30,8,250000,3,12,600,0.25,45,45,0.5,2,4,,Meng_fire_bp,,,4506
熄灯人,Meng_fire_offlight,突击战列舰,火羽计划,Meng_fire_fluxtrans_attackcore,50,25000,1850,11000,30000,1950,350,,30,15,10,5,5,3500,FRONT,,180,0.3,0.8,,,750,1500,400,400,13,30,7,450000,3,13,720,0.25,70,70,0.4,2,5,,Meng_fire_bp,,,4507
逐光者,Meng_fire_firelight,相位巡洋舰,火羽计划,Meng_fire_fluxtrans_phase,28,8000,1400,12000,4167,400,125,,50,40,30,15,15,900,PHASE,Meng_fire_phasecoil,90,,,,,200,350,140,100,3,30,9,250000,5,10,440,0.25,28,28,0.5,2,3,,Meng_fire_bp,,,4510
燔翼,Meng_fire_brandwing,相位驱逐舰,火羽计划,Meng_fire_fluxtrans_phase,16,5000,1100,7000,4167,150,90,,70,60,30,30,15,500,PHASE,Meng_fire_phasecoil,90,,,,,50,100,100,70,2,30,9,120000,5,10,400,0.25,16,16,0.5,2,3,,Meng_fire_bp,,,4511
璃,Meng_fire_li,超级护卫舰,火羽计划,Meng_fire_fluxtrans_phase,15,6500,1200,4000,4167,600,115,,70,50,25,30,30,550,OMNI,,240,0.15,0.8,,,60,120,120,100,2,30,9,60000,5,10,440,0.25,16,16,0.5,2,3,,Meng_fire_bp,,,4512
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隐语,Meng_fire_silentwarlock,巡洋舰,火羽计划,Meng_fire_fluxtrans,16,8000,800,8000,4167,450,145,,70,40,30,15,15,900,OMNI,,180,0.15,0.8,,,200,350,140,100,3,30,9,140000,5,10,440,0.25,18,18,0.5,2,3,,Meng_fire_bp,,,4513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
观火,Meng_witness,无人火力平台,火羽计划,Meng_fire_fluxtrans,,250,50,600,,100,0,,200,300,250,70,90,30,NONE,,,,,,,0,0,,,,,,,,,,,,,0,,,,,,,5000.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
